target_method,env,requests_per_sec,p95_latency_ms,avg_latency_ms
pos_084_forgot_password_controller,high,3.97,32000.0,8194.55
pos_084_forgot_password_controller,low,3.62,5800.0,2030.21
pos_084_forgot_password_controller,medium,4.25,12000.0,4258.98
pos_084_forgot_password_controller,prod,3.71,17000.0,5306.14
pos_085_login_controller,extreme,3.55,33000.0,12127.51
pos_085_login_controller,high,3.73,20000.0,9099.04
pos_085_login_controller,low,3.6,4800.0,2035.22
pos_085_login_controller,medium,4.18,6000.0,4973.98
pos_085_login_controller,prod,3.73,6700.0,5568.93
pos_086_post_list,extreme,94.02,370.0,306.19
pos_086_post_list,high,79.11,470.0,273.3
pos_086_post_list,low,40.3,21.0,16.17
pos_086_post_list,medium,79.05,170.0,87.4
pos_086_post_list,prod,92.17,190.0,47.32
pos_087_tag_create,extreme,84.15,440.0,367.8
pos_087_tag_create,high,86.78,400.0,231.13
pos_087_tag_create,low,36.74,97.0,32.87
pos_087_tag_create,medium,85.64,200.0,66.79
pos_087_tag_create,prod,68.97,320.0,129.25
pos_088_sign_in,extreme,3.34,19000.0,12593.75
pos_088_sign_in,high,3.66,15000.0,9384.12
pos_088_sign_in,low,3.9,3200.0,1917.51
pos_088_sign_in,medium,3.68,9300.0,5658.78
pos_088_sign_in,prod,3.37,8700.0,6227.57
pos_089_post_by_id,extreme,149.2,210.0,120.09
pos_089_post_by_id,high,149.79,67.0,49.41
pos_089_post_by_id,low,41.21,10.0,10.21
pos_089_post_by_id,medium,104.11,45.0,20.08
pos_089_post_by_id,prod,96.09,91.0,37.86
